OBJECTID,ZIP,FILENUM,UOFNum,OCCURRED_D,OCCURRED_T,CURRENT_BA,OffSex,OffRace,HIRE_DT,OFF_INJURE,OffCondTyp,OFF_HOSPIT,SERVICE_TY,ForceType,UOF_REASON,Cycles_Num,ForceEffec,STREET_N,STREET,street_g,street_t,Address,CitNum,CitRace,CitSex,CIT_INJURE,CitCondTyp,CIT_ARREST,CIT_INFL_A,CitChargeT,Council District,RA,BEAT,SECTOR,DIVISION,X,Y,GeoLocation,Council Districts--Test,Dallas City Limits GIS Layer
2817,75253,UF2019-1702,"62295, 63542",12/01/2019,10:34 PM,11285,Male,White,03/08/2017,false,No injuries noted or visible,false,Service Call,"BD - Tripped, BD - Grabbed",Detention/Frisk,NULL,"Yes, Yes",102,Beltline,S,Rd.,102 S Beltline Rd.,60833,White,Male,false,No injuries noted or visible,false,Agitated,No Arrest,D8,6062,357,350,SOUTHEAST,2557123.437,6944231.397,POINT (-96.586265 32.702825),8,3
2234,75208,UF2019-1344,61093,10/06/2019,12:50 AM,11208,Male,White,08/24/2016,true,No injuries noted or visible,false,Arrest,Held Suspect Down,Arrest,NULL,Yes,1500,Oak Cliff,S,Blvd.,1500 S Oak Cliff Blvd.,6020748798,Hispanic,Female,true,Injured prior to contact,true,Agitated,APOWW,D1,4160,444,440,SOUTHWEST,2474936.793,6952151.398,POINT (-96.853036 32.729136),1,3
2755,75231,UF2019-1665,62820,12/31/2019,11:37 PM,9415,Male,White,04/02/2008,false,No injuries noted or visible,false,Arrest,K-9 Deployment,Arrest,NULL,Yes,6904,Walling,NULL,Ln.,6904 Walling Ln.,61130,Black,Male,true,Bite,true,Poor hygiene,"Burglary/Habitation, Warrant/Hold",D9,6034,247,240,NORTHEAST,2508349.267,7001784.466,POINT (-96.741661 32.863941),13,3
2110,75228,UF2019-1314,60990,09/30/2019,6:20 PM,9884,Male,Hispanic,06/10/2009,false,No injuries noted or visible,false,Call for Cover,Joint Locks,Arrest,NULL,Yes,11760,Ferguson,NULL,Rd.,11760 Ferguson Rd.,26625,White,Female,false,No injuries noted or visible,true,Unknown Drugs,"Assault/FV, Resisting Arrest, Warrant/Hold",D9,1132,228,220,NORTHEAST,2536678.324,6999039.025,POINT (-96.649175 32.855492),13,3
1663,75051,UF2019-1030,"59592, 59600",08/04/2019,12:10 AM,10480,Male,Hispanic,09/26/2012,true,No injuries noted or visible,false,Arrest,"Joint Locks, BD - Grabbed",Arrest,NULL,"Yes, Yes",1350,Skyline,NULL,Rd.,1350 Skyline Rd.,59513,Black,Male,false,No injuries noted or visible,true,Agitated,Assault/Public Servant,,,,,,2433285.622,6953645.72,POINT (-96.98722 32.734935),,
2538,75217,UF2019-1539,62255,11/20/2019,12:30 AM,9697,Male,White,12/10/2008,false,No injuries noted or visible,false,Arrest,Joint Locks,Arrest,NULL,Yes,519,Bethpage,NULL,Ave.,519 Bethpage Ave.,60701,Hispanic,Male,true,Laceration/Cut,true,Alchohol,"Assault/FV, Resisting Arrest",D5,2196,331,330,SOUTHEAST,2518664.313,6949657.426,POINT (-96.710924 32.720446),5,3
1966,75214,UF2019-1218,60444,09/11/2019,12:43 AM,10431,Male,White,06/20/2012,false,No injuries noted or visible,false,Arrest,Weapon display at Person,Arrest,NULL,Yes,7400,La Vista,NULL,Dr.,7400 La Vista Dr.,59929,Hispanic,Male,false,No injuries noted or visible,true,Alchohol,Warrant/Hold,D2,1171,111,110,CENTRAL,2511580.252,6981361.061,POINT (-96.732593 32.808079),12,3
515,75204,UF2019-0338,55835,03/11/2019,3:50 AM,11278,Male,White,02/08/2017,false,No injuries noted or visible,false,Service Call,Handcuffing Take Down,Arrest,NULL,Yes,1906,Caddo,NULL,St.,1906 Caddo St.,57754,Hispanic,Female,false,Injured prior to contact,true,Alchohol,No Arrest,D14,2017,155,150,CENTRAL,2494741.403,6978419.971,POINT (-96.787302 32.800428),12,3
1768,75201,UF2019-1096,58582,06/23/2019,7:50 PM,11233,Male,White,11/02/2016,false,No injuries noted or visible,false,NULL,BD - Grabbed,NULL,NULL,Yes,1500,Main,NULL,St.,1500 Main St.,59002,Hispanic,Male,false,No injuries noted or visible,true,NULL,Theft,D14,2062,134,130,CENTRAL,2491108.139,6971148.627,POINT (-96.799308 32.78062),12,3
72,75207,UF2019-0045,54460,01/07/2019,8:15 PM,9770,Male,White,03/18/2009,false,No injuries noted or visible,false,Arrest,Held Suspect Down,Active Aggression,NULL,Yes,2754,Stemmons,N,Frwy.,2754 N Stemmons Frwy.,57122,White,Male,true,Bruise,true,Unknown Drugs,APOWW,D6,6067,514,510,NORTHWEST,2476175.336,6981696.717,POINT (-96.846541 32.809988),2,3
1560,75208,UF2019-0969,59198,07/18/2019,11:56 AM,7855,Male,White,01/07/2000,false,No injuries noted or visible,false,Arrest,Joint Locks,Arrest,NULL,Yes,818,12th,W,St.,818 W 12th St.,59319,Hispanic,Female,false,No injuries noted or visible,true,Mentally unstable,APOWW,D1,4140,417,410,SOUTHWEST,2480033.001,6956627.779,POINT (-96.836611 32.741188),1,3
1090,75216,UF2019-0704,57406,05/10/2019,1:00 PM,8645,Female,Black,05/20/2005,false,No injuries noted or visible,false,Service Call,Held Suspect Down,Arrest,NULL,Yes,4638,Malden,NULL,Ln.,4638 Malden Ln.,58517,Black,Male,true,Bruise,true,Unknown Drugs,Public Intoxication,D4,4322,727,720,SOUTH CENTRAL,2489283.104,6937390.895,POINT (-96.806984 32.68740400000001),4,3
1720,75202,UF2019-1068,59914,08/16/2019,8:43 PM,9000,Male,Hispanic,11/15/2006,false,No injuries noted or visible,false,Arrest,BD - Grabbed,Danger to self or others,NULL,No,1402,Main,N,St.,1402 N Main St.,59649,White,Female,false,No injuries noted or visible,true,Alchohol,"Public Intoxication, Resisting Arrest",D14,2061,133,130,CENTRAL,2490893.402,6971091.929,,,
1984,75287,UF2019-1230,"60932, 60933, 60934",09/28/2019,5:35 PM,11368,Male,White,07/26/2017,false,No injuries noted or visible,false,Arrest,"Verbal Command, Feet/Leg/Knee Strike, Held Suspect Down",Danger to self or others,NULL,"No, No, Yes",3900,ACCENT,NULL,Rd.,3900 ACCENT Rd.,60141,Black,Female,false,No injuries noted or visible,true,Mentally unstable,APOWW,D12,6059,613,610,NORTH CENTRAL,2475207.802,7046629.116,POINT (-96.846143 32.988885),14,3
2697,75216,UF2019-1633,61954,11/16/2019,12:55 AM,11509,Male,White,05/02/2018,false,No injuries noted or visible,false,Arrest,Handcuffing Take Down,Arrest,NULL,Yes,4638,MALDEN,NULL,Ln.,4638 MALDEN Ln.,58517,Black,Male,false,"Redness/Swelling, Abrasion/Scrape",true,NULL,"Assault/FV, Warrant/Hold",D4,4322,727,720,SOUTH CENTRAL,2489283.104,6937390.895,POINT (-96.806984 32.68740400000001),4,3
207,75252,UF2019-0124,55013,01/28/2019,12:30 PM,7061,Male,White,07/05/1994,false,No injuries noted or visible,false,Other ( In Narrative),Held Suspect Down,Danger to self or others,NULL,Yes,18900,Preston,NULL,Rd.,18900 Preston Rd.,57328,White,Male,true,Abrasion/Scrape,true,Agitated,APOWW,D12,4422,621,620,NORTH CENTRAL,2491016.32,7053489.902,POINT (-96.795404 33.006875),14,3
1061,75212,UF2019-0686,55214,02/09/2019,10:35 PM,11425,Female,White,11/29/2017,false,No injuries noted or visible,false,Service Call,Take Down - Body,Detention/Frisk,NULL,Yes,1948,McBroom,NULL,St.,1948 McBroom St.,57454,Hispanic,Male,false,No injuries noted or visible,true,Agitated,"Assault/FV, Resisting Arrest",D6,4038,423,420,SOUTHWEST,2474994.422,6971621.374,POINT (-96.852421 32.78261),6,3
800,75236,UF2019-0521,57246,05/05/2019,5:00 PM,9572,Male,White,08/20/2008,false,No injuries noted or visible,false,Service Call,Take Down - Arm,Danger to self or others,NULL,Yes,40900,LBJ,NULL,Frwy.,40900 LBJ Frwy.,58446,Hispanic,Male,false,No injuries noted or visible,true,Mentally unstable,APOWW,D3,4401,435,430,SOUTHWEST,2447982.265,6930266.477,,,
2367,75202,UF2019-1427,60139,08/29/2019,8:40 PM,9881,Male,White,06/10/2009,false,No injuries noted or visible,false,Service Call,Take Down - Arm,Arrest,NULL,Yes,205,Lamar,S,St.,205 S Lamar St.,59788,White,Male,false,No injuries noted or visible,true,Unknown Drugs,Public Intoxication,D14,2071,133,130,CENTRAL,2489689.079,6970448.413,POINT (-96.803969 32.7785),12,3
975,75228,UF2019-0627,57695,05/20/2019,11:20 PM,9675,Male,White,12/10/2008,false,No injuries noted or visible,false,Arrest,Weapon display at Person,Arrest,NULL,Yes,11760,Ferguson,NULL,Rd.,11760 Ferguson Rd.,58622,Black,Male,false,No injuries noted or visible,false,Unknown,No Arrest,D9,1132,228,220,NORTHEAST,2536678.324,6999039.025,POINT (-96.649175 32.855492),13,3
1025,75208,UF2019-0660,58573,03/31/2019,9:20 PM,11241,Female,White,11/30/2016,false,No injuries noted or visible,false,Arrest,BD - Tripped,Arrest,NULL,Yes,200,Suffolk,W,Ave.,200 W Suffolk Ave.,58005,Hispanic,Female,false,No injuries noted or visible,true,Alchohol and unknown drugs,"Drug Possession - Misdemeanor, Resisting Arrest",D1,4141,446,440,SOUTHWEST,2483587.416,6954879.596,POINT (-96.825104 32.73623),1,3
1786,75216,UF2019-1106,60054,08/24/2019,4:50 PM,11028,Male,White,06/03/2015,false,No injuries noted or visible,false,Arrest,Foot Pursuit,Arrest,NULL,Yes,2670,Scotland,NULL,Dr.,2670 Scotland Dr.,59737,Black,Male,false,No injuries noted or visible,true,Unknown,"Other Misdemeanor Arrest, Evading Arrest, Warrant/Hold",D4,4300,726,720,SOUTH CENTRAL,2497847.071,6943020.952,POINT (-96.778775 32.703103),4,3
337,75243,UF2019-0218,"55315, 55316",02/16/2019,4:50 PM,11306,Male,White,04/05/2017,false,No injuries noted or visible,false,Arrest,"Handcuffing Take Down, Take Down - Arm",Danger to self or others,NULL,"Yes, Yes",11999,Plano,NULL,Rd.,11999 Plano Rd.,57529,White,Female,false,No injuries noted or visible,true,Mentally unstable,APOWW,,,,,,2520679.891,7019315.305,POINT (-96.700482 32.911832),,
1771,75231,UF2019-1097,59482,07/31/2019,10:30 AM,8425,Male,White,08/15/2003,false,No injuries noted or visible,false,Service Call,OC Spray,Arrest,NULL,Yes,6749,ABRAMS,NULL,Rd.,6749 ABRAMS Rd.,25758,Black,Male,true,OC Spray Treatment,true,Agitated,Crim Trespass/Bldg/Prop,D13,6014,213,210,NORTHEAST,2507860.636,7002746.437,POINT (-96.743621 32.865322),11,3
409,75218,UF2019-0263,55780,03/08/2019,2:15 AM,9573,Male,Hispanic,08/20/2008,false,No injuries noted or visible,false,Arrest,Take Down - Group,Arrest,NULL,Yes,11437,Flamingo,NULL,Ln.,11437 Flamingo Ln.,57720,White,Male,false,"Injured prior to contact, Hospital Drug Evaluation",true,Unknown Drugs,Assault/FV,D9,1100,233,230,NORTHEAST,2526618.478,6998483.295,POINT (-96.681572 32.854055),13,3
1612,75218,UF2019-1000,"60461, 60462",04/10/2019,4:48 AM,11473,Female,White,02/21/2018,false,No injuries noted or visible,false,Crime in Progress,"Foot Pursuit, Verbal Command",Weapon Display,NULL,"No, No",11217,Garland,NULL,Rd.,11217 Garland Rd.,58106,Asian,Male,false,No injuries noted or visible,false,Agitated,No Arrest,D9,1114,232,230,NORTHEAST,2525944.808,6996333.292,POINT (-96.684775 32.848041),13,3
296,75216,UF2019-0192,54821,01/25/2019,9:50 AM,10021,Male,White,11/11/2009,false,No injuries noted or visible,false,Suspicious Activity,Foot Pursuit,Detention/Frisk,NULL,Yes,2900,Eagle,NULL,Dr.,2900 Eagle Dr.,57295,Black,Male,false,No injuries noted or visible,true,Unknown,"Evading Arrest, Other Misdemeanor Arrest",D4,4225,728,720,SOUTH CENTRAL,2497160.963,6947606.047,POINT (-96.780455 32.715554),4,3
42,75241,UF2019-0026,54270,01/01/2019,7:10 PM,11281,Male,Other,02/22/2017,false,No injuries noted or visible,false,Service Call,Weapon display at Person,Weapon Display,NULL,Yes,5100,Veterans,NULL,Dr.,5100 Veterans Dr.,57051,Black,Male,false,No injuries noted or visible,true,None detected,Other Misdemeanor Arrest,D8,4326,735,730,SOUTH CENTRAL,2498243.117,6937364.104,POINT (-96.777632 32.686752),8,3
1243,75210,UF2019-0785,"57169, 57170",05/02/2019,6:15 PM,10695,Male,White,11/06/2013,false,No injuries noted or visible,false,Call for Cover,"BD - Grabbed, Held Suspect Down",Arrest,NULL,"Yes, Yes",3816,Agnes,NULL,St.,3816 Agnes St.,58404,Black,Male,false,No injuries noted or visible,true,Unknown,Resisting Arrest,D7,2150,313,310,SOUTHEAST,2509968.529,6965321.722,POINT (-96.738253 32.763838),7,3
1556,75212,UF2019-0968,59189,07/18/2019,8:15 PM,11039,Male,White,06/17/2015,false,No injuries noted or visible,false,Call for Cover,Foot Pursuit,Arrest,NULL,Yes,2425,Bickers,NULL,St.,2425 Bickers St.,2867159310,Black,Female,false,No injuries noted or visible,true,Unknown,No Arrest,D6,4012,422,420,SOUTHWEST,2472250.476,6973242.286,POINT (-96.860527 32.787089),6,3
2434,75237,UF2019-1470,"61617, 61618",10/28/2019,2:00 PM,9136,Male,Black,05/30/2007,false,No injuries noted or visible,false,Call for Cover,"Verbal Command, BD - Grabbed",Arrest,NULL,"No, Yes",3000,Bolton Boone,NULL,Dr.,3000 Bolton Boone Dr.,60482,Black,Female,false,No injuries noted or visible,true,Agitated,"Warrant/Hold, Drug Possession - Misdemeanor",D8,4381,745,740,SOUTH CENTRAL,2467592.64,6921375.378,,,
